symbol,company,callname
786,786 Investments Limited,786 Investments
AABS,Al-Abbas Sugar Mills Limited,Al-Abbas Sugar Mills
AAL,Agro Allianz Limited,Agro Allianz
AASM,Al-Abid Silk Mills Limited,Al-Abid Silk Mills
AATM,Ali Asghar Textile Mills Limited,Ali Asghar Textile Mills
ABL,Allied Bank Limited,Allied Bank
ABOT,Abbott Laboratories (Pakistan) Limited,Abbott Laboratories
ABSON,Abson Industries Limited,Abson Industries
ACPL,Attock Cement Pakistan Limited,Attock Cement Pakistan
ADAMS,Adam Sugar Mills Limited,Adam Sugar Mills
ADMM,Artistic Denim Mills Limited,Artistic Denim Mills
AGHA,Agha Steel Ind.Ltd,Agha Steel Ind.Ltd
AGIC,Askari General Insurance Company Limited,Askari General Insurance Company
AGIL,Agriauto Industries Limited,Agriauto Industries
AGL,Agritech Limited,Agritech Limited
AGLNCPS,Agritech Non-Voting (Pref) Class A,Agritech Non-Voting Class A
AGP,AGP Limited,AGP Limited
AGSML,Abdullah Shah Ghazi Sugar Mills Limited,Abdullah Shah Ghazi Sugar Mills
AGTL,Al-Ghazi Tractors Limited,Al-Ghazi Tractors
AHCL,Arif Habib Corporation Limited,Arif Habib Corporation
AHL,Arif Habib Limited,Arif Habib
AHTM,Ahmad Hassan Textile Mills Limited,Ahmad Hassan Textile Mills
AICL,Adamjee Insurance Company Limited,Adamjee Insurance Company
AIRLINK,Air Link Communication Limited,Air Link Communication
AKBL,Askari Bank Limited,Askari Bank
AKDHL,AKD Hospitality Limited,AKD Hospitality
AKDSL,AKD Securities Limited,AKD Securities
AKGL,Al-Khair Gadoon Limited,Al-Khair Gadoon
ALAC,Askari Life Assurance Company Limited,Askari Life Assurance Company
ALIFE,Adamjee Life Assurance Company Limited,Adamjee Life Assurance Company
ALNRS,Al-Noor Sugar Mills Limited,Al-Noor Sugar Mills
ALTN,Altern Energy Limited,Altern Energy
AMBL,Apna Microfinance Bank Limited,Apna Microfinance Bank
AMSL,Al-Mal Securities & Services Limited,Al-Mal Securities & Services
AMTEX,Amtex Limited,Amtex Limited
ANL,Azgard Nine Limited,Azgard Nine
ANLNV,Azgard Nine Non-Voting Ordinary Shares,Azgard Nine Non-Voting Ordinary Shares
ANLPS,Azgard Nine 8.95%(Pref),Azgard Nine .%
ANNT,Annoor Textile Mills Limited,Annoor Textile Mills
ANSM,Ansari Sugar Mills Limited,Ansari Sugar Mills
ANTM,AN Textile Mills Limited,AN Textile Mills
APL,Attock Petroleum Limited,Attock Petroleum
APOT,Apollo Textile Mills Limited,Apollo Textile Mills
ARCTM,Arctic Textile Mills Limited,Arctic Textile Mills
ARMG,ARM Green Industries Limited,ARM Green Industries
ARPAK,Arpak International Investments Ltd.,Arpak International Investments
ARPL,Archroma Pakistan Limited,Archroma Pakistan
ARUJ,Aruj Industries Limited,Aruj Industries
ASC,Al Shaheer Corporation Limited,Al Shaheer Corporation
ASHT,Ashfaq Textile Mills Limited,Ashfaq Textile Mills
ASIC,Asia Insurance Company Limited,Asia Insurance Company
ASL,Aisha Steel Mills Limited,Aisha Steel Mills
ASLCPS,Aisha Steel Convt (Pref) Right,Aisha Steel Convt Right
ASLPS,Aisha Steel Convertible (Pref),Aisha Steel Convertible
ASTL,Amreli Steels Limited,Amreli Steels
ASTM,Asim Textile Mills Limited,Asim Textile Mills
ATBA,Atlas Battery Limited,Atlas Battery
ATIL,Atlas Insurance Limited,Atlas Insurance
ATLH,Atlas Honda Limited,Atlas Honda
ATRL,Attock Refinery Limited,Attock Refinery
AVN,Avanceon Limited,Avanceon Limited
AWTX,Allawasaya Tex. & Finishing Mills Ltd,Allawasaya Tex. & Finishing Mills
AZMT,Azmat Textile Mills Limited,Azmat Textile Mills
BAFL,Bank Alfalah Limited,Bank Alfalah
BAFS,Baba Farid Sugar Mills Limited,Baba Farid Sugar Mills
BAHL,Bank AL Habib Limited,Bank AL Habib
BAPL,Bawany Air Products Limited,Bawany Air Products
BATA,Bata Pakistan Limited,Bata Pakistan
BBFL,Big Bird Foods Limited,Big Bird Foods
BCL,Bolan Castings Limited,Bolan Castings
BECO,Beco Steel Limited,Beco Steel
BELA,Bela Automotives Limited,Bela Automotives
BERG,Berger Paints Pakistan Limited,Berger Paints Pakistan
BFAGRO,Barkat Frisian Agro Limited,Barkat Frisian Agro
BFBIO,BF Biosciences Limited,BF Biosciences
BFMOD,B.F. Modaraba,B.F. Modaraba
BGL,Baluchistan Glass Limited,Baluchistan Glass
BHAT,Bhanero Textile Mills Limited,Bhanero Textile Mills
BIFO,Biafo Industries Limited,Biafo Industries
BIIC,Business & Industrial Insurance Company,Business & Industrial Insurance Company
BIPL,BankIslami Pakistan Limited,BankIslami Pakistan
BLUEX,Blue-Ex Limited,Blue-Ex Limited
BML,Bank Makramah Limited,Bank Makramah
